game_str,play_id,cutoff_man,cutoff_decision
y1_d041_TKJ_YJD,59,shortstop,cut_hold
y1_d041_TKJ_YJD,115,shortstop,cut_relay
y1_d041_TKJ_YJD,134,shortstop,cut_relay
y1_d041_TKJ_YJD,205,shortstop,cut_relay
y1_d041_TKJ_YJD,300,first baseman,cut_hold
y1_d043_WJU_QEA,31,shortstop,let
y1_d043_WJU_QEA,165,shortstop,cut_relay
y1_d043_WJU_QEA,277,second baseman,let
y1_d044_WJU_QEA,47,shortstop,cut_relay
y1_d045_MHY_RZQ,67,second baseman,cut_hold
y1_d045_MHY_RZQ,277,shortstop,cut_hold
y1_d045_WJU_QEA,16,first baseman,let
y1_d045_WJU_QEA,33,second baseman,cut_hold
y1_d046_MHY_RZQ,111,second baseman,cut_hold
y1_d046_MHY_RZQ,155,second baseman,let
y1_d046_VHS_YJD,205,second baseman,cut_hold
y1_d046_WJU_QEA,47,second baseman,let
y1_d046_WJU_QEA,127,third baseman,cut_hold
y1_d046_WJU_QEA,286,second baseman,cut_hold
y1_d046_WJU_QEA,306,second baseman,cut_hold
y1_d047_MHY_RZQ,62,second baseman,cut_hold
y1_d047_MHY_RZQ,111,shortstop,cut_hold
y1_d047_MHY_RZQ,143,shortstop,cut_hold
y1_d048_MHY_RZQ,68,third baseman,cut_hold
y1_d048_MHY_RZQ,109,second baseman,cut_hold
y1_d048_MHY_RZQ,303,shortstop,cut_hold
y1_d048_STK_QEA,63,second baseman,cut_relay
y1_d048_STK_QEA,118,second baseman,let
y1_d048_STK_QEA,119,second baseman,cut_relay
y1_d048_UPU_YJD,60,shortstop,cut_hold
y1_d048_UPU_YJD,74,shortstop,cut_hold
y1_d048_UPU_YJD,237,shortstop,cut_hold
y1_d049_JZK_RZQ,75,third baseman,cut_relay
y1_d049_JZK_RZQ,120,second baseman,cut_hold
y1_d049_JZK_RZQ,135,shortstop,cut_relay
y1_d049_JZK_RZQ,179,second baseman,cut_hold
y1_d049_JZK_RZQ,184,shortstop,cut_hold
y1_d049_STK_QEA,209,second baseman,cut_hold
y1_d049_UPU_YJD,129,second baseman,let
y1_d049_UPU_YJD,224,second baseman,cut_hold
y1_d050_JZK_RZQ,89,shortstop,let
y1_d050_JZK_RZQ,114,shortstop,let
y1_d050_JZK_RZQ,173,third baseman,cut_hold
y1_d050_JZK_RZQ,226,shortstop,cut_hold
y1_d050_JZK_RZQ,251,shortstop,cut_hold
y1_d050_JZK_RZQ,283,third baseman,cut_hold
y1_d050_STK_QEA,73,shortstop,cut_hold
y1_d050_STK_QEA,123,third baseman,cut_hold
y1_d050_STK_QEA,192,shortstop,cut_hold
y1_d050_UPU_YJD,45,shortstop,cut_relay
y1_d050_UPU_YJD,46,pitcher,cut_hold
y1_d050_UPU_YJD,172,shortstop,cut_hold
y1_d050_UPU_YJD,186,shortstop,cut_relay
y1_d051_JZK_RZQ,111,second baseman,cut_hold
y1_d051_JZK_RZQ,155,shortstop,cut_hold
y1_d051_JZK_RZQ,181,shortstop,cut_hold
y1_d051_JZK_RZQ,207,shortstop,cut_hold
y1_d051_JZK_RZQ,264,first baseman,cut_hold
y1_d051_JZK_RZQ,316,second baseman,cut_hold
y1_d051_UPU_YJD,61,shortstop,cut_hold
y1_d051_UPU_YJD,188,second baseman,cut_hold
y1_d052_APZ_QEA,304,second baseman,cut_hold
y1_d053_APZ_QEA,14,shortstop,cut_hold
y1_d053_APZ_QEA,134,third baseman,cut_hold
y1_d053_APZ_QEA,199,shortstop,cut_hold
y1_d053_APZ_QEA,227,third baseman,cut_hold
y1_d054_APZ_QEA,163,shortstop,cut_hold
y1_d054_APZ_QEA,250,shortstop,cut_hold
y1_d055_APZ_QEA,178,shortstop,cut_hold
y1_d056_OXG_QEA,42,shortstop,cut_hold
y1_d056_OXG_QEA,193,shortstop,cut_hold
y1_d056_WZR_YJD,36,shortstop,cut_hold
y1_d056_WZR_YJD,207,second baseman,cut_relay
y1_d057_KJH_RZQ,273,shortstop,cut_hold
y1_d057_KJH_RZQ,23,shortstop,cut_hold
y1_d057_OXG_QEA,21,shortstop,let
y1_d057_OXG_QEA,96,shortstop,cut_hold
y1_d057_OXG_QEA,169,second baseman,let
y1_d057_OXG_QEA,273,shortstop,cut_relay
y1_d057_OXG_QEA,299,shortstop,cut_hold
y1_d057_WZR_YJD,159,third baseman,cut_hold
y1_d058_KJH_RZQ,18,shortstop,let
y1_d058_KJH_RZQ,198,third baseman,cut_hold
y1_d058_KJH_RZQ,224,shortstop,cut_hold
y1_d058_KJH_RZQ,244,shortstop,cut_hold
y1_d058_KJH_RZQ,253,second baseman,cut_hold
y1_d058_KJH_RZQ,268,second baseman,cut_hold
y1_d058_KJH_RZQ,308,shortstop,cut_hold
y1_d058_KJH_RZQ,326,shortstop,cut_hold
y1_d058_OXG_QEA,29,shortstop,cut_hold
y1_d058_OXG_QEA,88,second baseman,cut_hold
y1_d058_WZR_YJD,310,shortstop,cut_hold
y1_d059_JNJ_QEA,25,shortstop,cut_hold
y1_d059_JNJ_QEA,36,shortstop,cut_hold
y1_d061_HCI_RZQ,40,shortstop,cut_hold
y1_d061_HCI_RZQ,140,second baseman,cut_hold
y1_d061_HCI_RZQ,147,catcher,let
y1_d061_HCI_RZQ,214,second baseman,cut_hold
y1_d062_HCI_RZQ,67,second baseman,cut_relay
y1_d063_HCI_RZQ,85,shortstop,cut_hold
y1_d063_HCI_RZQ,105,shortstop,cut_hold
y1_d063_HCI_RZQ,232,shortstop,cut_hold
y1_d064_IAQ_YJD,248,second baseman,let
y1_d064_UEX_RZQ,30,second baseman,cut_relay
y1_d065_IAQ_YJD,92,catcher,let
y1_d065_IAQ_YJD,110,second baseman,cut_hold
y1_d065_OWH_QEA,210,second baseman,cut_hold
y1_d065_UEX_RZQ,117,second baseman,cut_hold
y1_d065_UEX_RZQ,186,third baseman,cut_relay
y1_d066_IAQ_YJD,19,third baseman,cut_hold
y1_d066_IAQ_YJD,172,shortstop,cut_hold
y1_d066_IAQ_YJD,175,shortstop,cut_hold
y1_d066_OWH_QEA,21,shortstop,cut_hold
y1_d066_OWH_QEA,32,shortstop,cut_hold
y1_d066_OWH_QEA,42,second baseman,cut_hold
y1_d067_IAQ_YJD,240,shortstop,cut_hold
y1_d067_OWH_QEA,13,catcher,let
y1_d067_UEX_RZQ,34,second baseman,cut_hold
y1_d068_OWH_QEA,7,third baseman,cut_hold
y1_d068_OWH_QEA,31,third baseman,cut_hold
y1_d068_OWH_QEA,44,shortstop,cut_hold
y1_d068_OWH_QEA,229,second baseman,cut_hold
y1_d068_OWH_QEA,332,third baseman,cut_hold
y1_d070_ACN_QEA,158,shortstop,cut_hold
y1_d070_ACN_QEA,282,shortstop,cut_hold
y1_d071_ACN_QEA,76,first baseman,cut_hold
y1_d071_ACN_QEA,107,shortstop,cut_relay
y1_d071_ACN_QEA,165,pitcher,cut_hold
y1_d073_PHS_RZQ,138,shortstop,let
y1_d073_PHS_RZQ,228,shortstop,let
y1_d073_UWE_YJD,202,second baseman,cut_hold
y1_d074_PHS_RZQ,141,shortstop,cut_hold
y1_d074_UWE_YJD,49,second baseman,cut_relay
y1_d074_UWE_YJD,105,second baseman,cut_hold
y1_d075_PHS_RZQ,288,third baseman,cut_hold
y1_d077_GAX_YJD,46,shortstop,cut_hold
y1_d077_GAX_YJD,126,second baseman,cut_hold
y1_d078_GAX_YJD,73,third baseman,cut_hold
y1_d078_GAX_YJD,209,shortstop,cut_hold
y1_d078_GAX_YJD,260,shortstop,cut_relay
y1_d079_FBP_QEA,89,shortstop,cut_relay
y1_d079_FBP_QEA,186,shortstop,cut_relay
y1_d079_FBP_QEA,211,second baseman,cut_hold
y1_d079_FBP_QEA,262,third baseman,cut_hold
y1_d079_PVJ_RZQ,61,shortstop,cut_relay
y1_d079_PVJ_RZQ,137,pitcher,cut_relay
y1_d080_FBP_QEA,73,shortstop,cut_hold
y1_d080_FBP_QEA,130,second baseman,cut_hold
y1_d080_FBP_QEA,212,shortstop,cut_hold
y1_d080_PVJ_RZQ,202,third baseman,cut_hold
y1_d080_PVJ_RZQ,212,shortstop,cut_hold
y1_d081_FBP_QEA,68,shortstop,cut_hold
y1_d081_FBP_QEA,222,shortstop,cut_relay
y1_d081_FBP_QEA,259,shortstop,cut_hold
y1_d082_FBP_QEA,42,second baseman,cut_hold
y1_d082_FBP_QEA,47,shortstop,cut_hold
y1_d082_FBP_QEA,149,shortstop,cut_hold
y1_d082_FBP_QEA,252,shortstop,let
y1_d083_YJD_RZQ,302,shortstop,let
y1_d085_YJD_RZQ,87,catcher,let
y1_d085_YJD_RZQ,128,catcher,let
y1_d085_YJD_RZQ,179,first baseman,cut_hold
y1_d086_DYE_YJD,248,third baseman,cut_hold
y1_d088_CRQ_QEA,104,catcher,let
y1_d088_CRQ_QEA,231,catcher,let
y1_d088_CRQ_QEA,271,shortstop,cut_relay
y1_d089_CRQ_QEA,220,second baseman,cut_hold
y1_d089_CRQ_QEA,279,shortstop,cut_hold
y1_d090_DYE_RZQ,50,first baseman,cut_hold
y1_d091_DYE_RZQ,12,shortstop,cut_relay
y1_d091_DYE_RZQ,19,third baseman,cut_hold
y1_d091_DYE_RZQ,270,second baseman,cut_hold
y1_d092_DYE_RZQ,21,catcher,let
y1_d092_DYE_RZQ,268,shortstop,let
y1_d092_DYE_RZQ,269,shortstop,cut_hold
y1_d093_DYE_RZQ,296,second baseman,cut_hold
y1_d094_KQQ_YJD,22,shortstop,cut_hold
y1_d094_KQQ_YJD,249,shortstop,cut_hold
y1_d094_WNA_RZQ,339,third baseman,cut_hold
y1_d095_KQQ_YJD,61,third baseman,cut_hold
y1_d095_KQQ_YJD,100,shortstop,cut_hold
y1_d095_KQQ_YJD,134,shortstop,cut_hold
y1_d095_KQQ_YJD,180,shortstop,cut_hold
y1_d095_XAX_QEA,7,shortstop,cut_relay
y1_d096_KQQ_YJD,128,second baseman,cut_hold
y1_d096_WNA_RZQ,57,second baseman,cut_hold
y1_d096_XAX_QEA,82,second baseman,cut_relay
y1_d096_XAX_QEA,153,second baseman,cut_hold
y1_d096_XAX_QEA,259,shortstop,cut_hold
y1_d097_MRJ_YJD,71,third baseman,cut_hold
y1_d097_MRJ_YJD,129,second baseman,cut_hold
y1_d099_MRJ_YJD,121,catcher,let
y1_d099_MRJ_YJD,124,shortstop,cut_hold
y1_d099_MRJ_YJD,186,shortstop,cut_relay
y1_d099_MRJ_YJD,223,second baseman,cut_hold
y1_d099_MRJ_YJD,259,third baseman,cut_hold
y1_d099_MRJ_YJD,266,second baseman,cut_hold
y1_d100_MRJ_YJD,38,shortstop,cut_relay
y1_d100_MRJ_YJD,82,shortstop,cut_hold
y2_d001_BEJ_RZQ,7,second baseman,cut_relay
y2_d002_BEJ_RZQ,21,second baseman,cut_hold
y2_d002_BEJ_RZQ,159,third baseman,cut_hold
y2_d002_BEJ_RZQ,208,second baseman,cut_hold
y2_d002_GHD_YJD,49,second baseman,cut_hold
y2_d004_GHD_YJD,165,shortstop,cut_relay
y2_d004_GHD_YJD,189,third baseman,cut_relay
y2_d004_GHD_YJD,260,catcher,let
y2_d006_DYE_RZQ,132,shortstop,let
y2_d007_NSO_YJD,41,second baseman,cut_relay
y2_d007_NSO_YJD,176,pitcher,cut_hold
y2_d008_JMJ_YJD,179,shortstop,cut_hold
y2_d008_TSZ_RZQ,64,second baseman,cut_hold
y2_d008_TSZ_RZQ,257,second baseman,cut_hold
y2_d008_TSZ_RZQ,262,second baseman,cut_hold
y2_d008_TSZ_RZQ,270,second baseman,cut_hold
y2_d009_JMJ_YJD,147,shortstop,cut_relay
y2_d009_JMJ_YJD,292,third baseman,cut_hold
y2_d009_TSZ_RZQ,56,shortstop,cut_relay
y2_d009_TSZ_RZQ,94,shortstop,cut_hold
y2_d009_TSZ_RZQ,126,shortstop,cut_hold
y2_d009_TSZ_RZQ,250,shortstop,cut_hold
y2_d009_TSZ_RZQ,267,third baseman,cut_hold
y2_d010_JMJ_YJD,172,second baseman,cut_hold
y2_d010_JMJ_YJD,189,shortstop,cut_relay
y2_d010_TSZ_RZQ,32,third baseman,cut_hold
y2_d011_BVD_RZQ,154,shortstop,cut_hold
y2_d011_BVD_RZQ,194,second baseman,cut_relay
y2_d011_RQJ_YJD,188,second baseman,cut_relay
y2_d012_RQJ_YJD,200,shortstop,cut_hold
y2_d012_RQJ_YJD,205,catcher,let
y2_d013_BVD_RZQ,117,second baseman,cut_hold
y2_d013_RQJ_YJD,164,second baseman,cut_hold
y2_d013_RQJ_YJD,169,shortstop,cut_hold
y2_d013_RQJ_YJD,209,third baseman,cut_hold
y2_d013_RQJ_YJD,257,shortstop,let
y2_d013_RQJ_YJD,44,shortstop,cut_relay
y2_d013_RQJ_YJD,135,shortstop,cut_relay
y2_d014_TEQ_YJD,37,second baseman,cut_hold
y2_d014_TEQ_YJD,69,second baseman,cut_hold
y2_d015_TEQ_YJD,127,second baseman,cut_hold
y2_d017_GIS_RZQ,90,second baseman,cut_hold
y2_d017_GIS_RZQ,116,shortstop,cut_hold
y2_d017_GIS_RZQ,186,third baseman,let
y2_d018_GIS_RZQ,91,second baseman,cut_hold
y2_d019_GIS_RZQ,60,shortstop,cut_hold
y2_d019_GIS_RZQ,65,second baseman,cut_hold
y2_d019_GIS_RZQ,287,third baseman,cut_hold
y2_d020_GIS_RZQ,135,shortstop,cut_hold
y2_d020_GIS_RZQ,159,shortstop,cut_hold
y2_d022_DMS_RZQ,50,shortstop,cut_relay
y2_d022_DMS_RZQ,51,second baseman,cut_hold
y2_d024_ALA_YJD,152,catcher,let
y2_d025_ALA_YJD,128,shortstop,cut_hold
y2_d026_YUH_RZQ,200,second baseman,let
y2_d027_YUH_RZQ,41,shortstop,cut_hold
y2_d027_YUH_RZQ,90,shortstop,cut_relay
y2_d027_YUH_RZQ,175,shortstop,cut_relay
y2_d027_YUH_RZQ,236,second baseman,cut_hold
y2_d029_IKJ_RZQ,80,shortstop,cut_hold
y2_d029_IKJ_RZQ,85,second baseman,cut_hold
y2_d029_IKJ_RZQ,157,pitcher,cut_hold
y2_d029_IKJ_RZQ,234,shortstop,cut_hold
y2_d030_IKJ_RZQ,60,shortstop,cut_hold
y2_d030_IKJ_RZQ,113,catcher,let
y2_d030_IKJ_RZQ,328,second baseman,cut_hold
y2_d031_IKJ_RZQ,255,shortstop,cut_hold
y2_d032_KNB_YJD,66,shortstop,cut_hold
y2_d032_KNB_YJD,212,shortstop,cut_relay
y2_d033_KNB_YJD,21,shortstop,cut_hold
y2_d033_KNB_YJD,205,second baseman,cut_hold
y2_d033_KNB_YJD,207,shortstop,cut_hold
y2_d034_KNB_YJD,29,pitcher,cut_relay
y2_d034_KNB_YJD,171,shortstop,let
y2_d035_KNB_YJD,274,shortstop,cut_hold
y2_d035_KNB_YJD,335,shortstop,cut_hold
y2_d036_UKI_RZQ,57,third baseman,cut_hold
y2_d036_UKI_RZQ,104,shortstop,cut_hold
y2_d037_UKI_RZQ,110,shortstop,cut_hold
y2_d038_UKI_RZQ,24,shortstop,cut_hold
y2_d038_UKI_RZQ,146,shortstop,cut_relay
y2_d039_XLB_RZQ,149,shortstop,cut_hold
y2_d039_XLB_RZQ,150,third baseman,cut_hold
y2_d040_XLB_RZQ,121,shortstop,cut_hold
y2_d041_XLB_RZQ,135,shortstop,cut_hold
y2_d042_RZQ_YJD,70,first baseman,cut_hold
y2_d042_RZQ_YJD,301,second baseman,cut_relay
y2_d043_RZQ_YJD,57,shortstop,cut_hold
y2_d043_RZQ_YJD,125,second baseman,cut_relay
y2_d043_RZQ_YJD,307,shortstop,cut_hold
y2_d043_RZQ_YJD,344,second baseman,cut_hold
y2_d044_RZQ_YJD,153,second baseman,cut_hold
y2_d045_IHI_YJD,19,shortstop,cut_relay
y2_d045_IHI_YJD,23,second baseman,cut_relay
y2_d045_IHI_YJD,131,third baseman,cut_hold
y2_d046.5_IHI_YJD,188,second baseman,cut_relay
y2_d047_IHI_YJD,38,second baseman,let
y2_d050_DYE_RZQ,66,second baseman,cut_hold
y2_d050_DYE_RZQ,146,shortstop,let
y2_d051_DYE_RZQ,56,second baseman,cut_hold
y2_d051_DYE_RZQ,209,shortstop,cut_hold
y2_d051_DYE_RZQ,300,first baseman,cut_hold
y2_d052_PTB_YJD,28,second baseman,cut_hold
y2_d052_PTB_YJD,52,shortstop,cut_hold
y2_d052_PTB_YJD,126,second baseman,cut_relay
y2_d052_PTB_YJD,346,second baseman,cut_relay
y2_d053_PTB_YJD,270,shortstop,cut_hold
y2_d054_PTB_YJD,185,shortstop,cut_hold
y2_d055_IAK_RZQ,74,shortstop,cut_hold
y2_d056_IAK_RZQ,92,second baseman,cut_hold
y2_d056_IAK_RZQ,149,shortstop,cut_hold
y2_d056_IAK_RZQ,233,shortstop,let
y2_d057.5_IAK_RZQ,34,shortstop,let
y2_d057_IAK_RZQ,144,shortstop,cut_relay
y2_d057_IAK_RZQ,265,shortstop,cut_hold
y2_d058_POW_YJD,84,second baseman,cut_relay
y2_d058_POW_YJD,85,shortstop,cut_hold
y2_d058_POW_YJD,269,shortstop,cut_hold
y2_d059_POW_YJD,313,second baseman,cut_hold
y2_d059_POW_YJD,326,third baseman,cut_hold
y2_d062_KIR_RZQ,106,catcher,let
y2_d063_KIR_RZQ,22,second baseman,cut_hold
y2_d063_KIR_RZQ,24,shortstop,cut_hold
y2_d063_KIR_RZQ,125,second baseman,cut_hold
y2_d064_ESW_YJD,99,shortstop,cut_relay
y2_d064_ESW_YJD,207,pitcher,cut_relay
y2_d064_HKR_RZQ,58,catcher,let
y2_d064_HKR_RZQ,193,second baseman,cut_hold
y2_d064_HKR_RZQ,231,first baseman,cut_hold
y2_d065_ESW_YJD,252,third baseman,cut_hold
y2_d065_HKR_RZQ,78,shortstop,let
y2_d065_HKR_RZQ,113,second baseman,cut_hold
y2_d066_ESW_YJD,247,second baseman,cut_relay
y2_d066_HKR_RZQ,138,shortstop,cut_hold
y2_d066_HKR_RZQ,286,second baseman,cut_relay
y2_d067_ESW_YJD,168,shortstop,cut_hold
y2_d067_HKR_RZQ,82,shortstop,cut_hold
y2_d067_HKR_RZQ,130,second baseman,cut_hold
y2_d067_HKR_RZQ,4,third baseman,cut_hold
y2_d067_HKR_RZQ,7,shortstop,cut_hold
y2_d068_RDO_RZQ,55,shortstop,let
y2_d068_RDO_RZQ,205,third baseman,cut_relay
y2_d069_RDO_RZQ,163,second baseman,cut_hold
y2_d070_RDO_RZQ,14,catcher,let
y2_d070_RDO_RZQ,111,shortstop,cut_hold
y2_d070_RDO_RZQ,115,catcher,let
y2_d070_RDO_RZQ,189,shortstop,cut_hold
y2_d070_RDO_RZQ,247,second baseman,cut_hold
y2_d071_XFE_RZQ,30,second baseman,cut_hold
y2_d071_XFE_RZQ,35,first baseman,cut_hold
y2_d071_XFE_RZQ,136,shortstop,cut_hold
y2_d071_XFE_RZQ,164,second baseman,cut_hold
y2_d071_XFE_RZQ,250,second baseman,cut_hold
y2_d072_DYE_YJD,139,second baseman,let
y2_d073_XFE_RZQ,46,second baseman,cut_hold
y2_d073_XFE_RZQ,100,second baseman,cut_hold
y2_d073_XFE_RZQ,173,shortstop,cut_hold
y2_d074.5_VZE_YJD,53,shortstop,cut_hold
y2_d074.5_VZE_YJD,76,shortstop,cut_hold
y2_d074.5_VZE_YJD,111,shortstop,cut_hold
y2_d074_VZE_YJD,181,shortstop,cut_hold
y2_d075_VZE_YJD,41,first baseman,cut_hold
y2_d075_VZE_YJD,225,catcher,let
y2_d075_VZE_YJD,244,second baseman,cut_hold
y2_d077_MGJ_RZQ,19,shortstop,cut_relay
y2_d077_MGJ_RZQ,179,second baseman,cut_hold
y2_d077_MGJ_RZQ,184,second baseman,cut_hold
y2_d077_MGJ_RZQ,189,second baseman,cut_hold
y2_d078_MGJ_RZQ,16,shortstop,cut_hold
y2_d079_YJD_RZQ,27,second baseman,cut_hold
y2_d079_YJD_RZQ,204,second baseman,cut_hold
y2_d080_YJD_RZQ,113,shortstop,cut_hold
y2_d080_YJD_RZQ,122,second baseman,cut_hold
y2_d080_YJD_RZQ,149,third baseman,cut_hold
y2_d080_YJD_RZQ,259,shortstop,cut_relay
y2_d081_YJD_RZQ,154,catcher,let
y2_d081_YJD_RZQ,205,second baseman,cut_hold
y2_d082_WMI_YJD,126,third baseman,cut_hold
y2_d083.5_WMI_YJD,70,shortstop,cut_hold
y2_d083_WMI_YJD,56,shortstop,let
y2_d083_WMI_YJD,228,second baseman,cut_hold
y2_d083_WMI_YJD,231,catcher,let
y2_d083_WMI_YJD,257,second baseman,cut_hold
y2_d084_LFS_YJD,340,second baseman,cut_hold
y2_d084_LFS_YJD,365,first baseman,cut_hold
y2_d086_LFS_YJD,16,catcher,let
y2_d086_LFS_YJD,93,second baseman,cut_hold
y2_d086_LFS_YJD,125,shortstop,cut_hold
y2_d088_DYE_RZQ,159,shortstop,cut_hold
y2_d090_NYA_YJD,249,second baseman,cut_hold
y2_d093_QZE_RZQ,32,shortstop,cut_hold
y2_d093_QZE_RZQ,100,third baseman,cut_hold
y2_d093_QZE_RZQ,208,catcher,let
y2_d094_QZE_RZQ,91,second baseman,cut_hold
y2_d094_QZE_RZQ,238,second baseman,cut_relay
y2_d094_QZE_RZQ,262,shortstop,let
y2_d094_QZE_RZQ,344,shortstop,cut_hold
y2_d095_QZE_RZQ,11,first baseman,cut_hold
y2_d095_QZE_RZQ,28,shortstop,cut_hold
y2_d095_QZE_RZQ,173,first baseman,cut_hold
y2_d095_QZE_RZQ,261,second baseman,cut_hold
y2_d097_YJD_RZQ,53,shortstop,let
y2_d097_YJD_RZQ,158,shortstop,let
y1_d002_CGA_QEA,99,third baseman,cut_hold
y1_d006_JJS_YJD,74,shortstop,cut_relay
y1_d007_JJS_YJD,50,third baseman,cut_hold
y1_d010_DYE_RZQ,209,second baseman,cut_hold
y1_d013_IXC_QEA,5,third baseman,cut_hold
y1_d013_IXC_QEA,185,first baseman,cut_hold
y1_d015_IXC_QEA,40,third baseman,cut_hold
y1_d015_IXC_QEA,45,shortstop,cut_hold
y1_d016_OXG_QEA,77,shortstop,cut_hold
y1_d018_OXG_QEA,63,second baseman,cut_hold
y1_d018_OXG_QEA,92,second baseman,cut_hold
y1_d018_OXG_QEA,99,second baseman,cut_hold
y1_d018_OXG_QEA,131,shortstop,cut_hold
y1_d019_JFU_YJD,216,shortstop,cut_hold
y1_d020_JFU_YJD,11,third baseman,cut_hold
y1_d021_JFU_YJD,122,catcher,let
y1_d021_JFU_YJD,127,second baseman,cut_hold
y1_d023_AKX_YJD,261,first baseman,cut_hold
y1_d023_AKX_YJD,40,shortstop,cut_hold
y1_d023_AKX_YJD,53,second baseman,cut_hold
y1_d026_JIL_RZQ,33,third baseman,cut_hold
y1_d035_AVV_YJD,153,third baseman,cut_hold
y1_d040_TKJ_YJD,16,second baseman,cut_hold
y1_d040_TKJ_YJD,21,second baseman,cut_relay
y1_d044_WJU_QEA,273,shortstop,cut_hold
y1_d044_WJU_QEA,338,second baseman,cut_hold
y1_d045_MHY_RZQ,42,second baseman,cut_hold
y1_d045_MHY_RZQ,157,second baseman,cut_hold
y1_d045_MHY_RZQ,178,shortstop,cut_hold
y1_d046_WJU_QEA,147,shortstop,cut_relay
y1_d047_VHS_YJD,124,shortstop,cut_hold
y1_d049_UPU_YJD,74,second baseman,let
y1_d050_STK_QEA,7,second baseman,cut_hold
y1_d051_UPU_YJD,153,second baseman,cut_hold
y1_d055_APZ_QEA,114,third baseman,cut_hold
y1_d056_KJH_RZQ,85,second baseman,cut_hold
y1_d056_KJH_RZQ,250,shortstop,cut_relay
y1_d056_OXG_QEA,27,second baseman,cut_hold
y1_d056_OXG_QEA,256,first baseman,cut_hold
y1_d057_KJH_RZQ,307,second baseman,cut_hold
y1_d057_OXG_QEA,12,second baseman,cut_hold
y1_d057_OXG_QEA,82,second baseman,cut_hold
y1_d057_OXG_QEA,146,catcher,let
y1_d057_OXG_QEA,294,shortstop,cut_hold
