game_str,play_id
y1_d025_JIL_RZQ,70
y1_d005_JJS_YJD,73
y1_d049_UPU_YJD,74
y2_d026_YUH_RZQ,74
y1_d006_JJS_YJD,74
y1_d049_JZK_RZQ,75
y1_d095_XAX_QEA,76
y1_d054_APZ_QEA,77
y2_d065_HKR_RZQ,78
y2_d007_DYE_RZQ,80
y1_d005_JJS_YJD,80
y1_d049_STK_QEA,81
y2_d050_DYE_RZQ,81
y1_d025_JIL_RZQ,82
y1_d096_XAX_QEA,82
y2_d058_POW_YJD,84
y2_d032_KNB_YJD,85
y1_d066_IAQ_YJD,88
y1_d079_FBP_QEA,89
y1_d050_JZK_RZQ,89
y1_d081_PVJ_RZQ,89
y2_d060_POW_YJD,90
y2_d037_UKI_RZQ,90
y2_d027_YUH_RZQ,90
y1_d002_CGA_QEA,92
y1_d004_CGA_QEA,92
y2_d095_QZE_RZQ,97
y2_d013_BVD_RZQ,97
y1_d040_TKJ_YJD,97
y1_d035_AVV_YJD,98
y2_d012_RQJ_YJD,98
y1_d058_OXG_QEA,98
y2_d064_ESW_YJD,99
y1_d056_KJH_RZQ,99
y1_d005_JJS_YJD,99
y1_d049_STK_QEA,100
y1_d005_JJS_YJD,103
y2_d062_KIR_RZQ,106
y1_d071_ACN_QEA,107
y1_d001_CGA_QEA,108
y1_d070_ACN_QEA,109
y2_d094_QZE_RZQ,109
y1_d012_IXC_QEA,109
y1_d065_IAQ_YJD,109
y1_d020_JFU_YJD,113
y1_d003_CGA_QEA,113
y1_d091_DYE_RZQ,114
y1_d050_JZK_RZQ,114
y1_d041_TKJ_YJD,115
y2_d026_VMN_YJD,116
y2_d013_BVD_RZQ,117
y1_d011_GEA_YJD,117
y1_d024_AKX_YJD,118
y1_d070_ACN_QEA,118
y1_d048_STK_QEA,118
y1_d016_OXG_QEA,119
y1_d048_STK_QEA,119
y1_d099_MRJ_YJD,121
y2_d026_VMN_YJD,122
y1_d053_APZ_QEA,122
y2_d043_RZQ_YJD,125
y2_d099_YJD_RZQ,125
y2_d052_PTB_YJD,126
y1_d085_YJD_RZQ,126
y2_d083.5_WMI_YJD,126
y2_d032_KNB_YJD,128
y1_d049_UPU_YJD,129
y2_d059_POW_YJD,130
y2_d045_IHI_YJD,131
y2_d006_DYE_RZQ,132
y2_d068_RDO_RZQ,133
y1_d041_TKJ_YJD,134
y1_d049_JZK_RZQ,135
y2_d013_RQJ_YJD,135
y2_d055_IAK_RZQ,136
y2_d030_IKJ_RZQ,137
y1_d079_PVJ_RZQ,137
y2_d085.5_LFS_YJD,138
y1_d096_XAX_QEA,138
y1_d073_PHS_RZQ,138
y1_d011_GEA_YJD,138
y2_d072_DYE_YJD,139
y2_d040_XLB_RZQ,140
y1_d026_JIL_RZQ,140
y1_d075_PHS_RZQ,141
y2_d057_IAK_RZQ,141
y2_d058_POW_YJD,144
y1_d041_TKJ_YJD,144
y2_d057_IAK_RZQ,144
y1_d050_STK_QEA,145
y2_d038_UKI_RZQ,146
y2_d050_DYE_RZQ,146
y2_d009_JMJ_YJD,147
y1_d046_WJU_QEA,147
y1_d040_TKJ_YJD,147
y1_d050_STK_QEA,149
y2_d056_IAK_RZQ,149
y1_d051_JZK_RZQ,149
y1_d012_IXC_QEA,150
y2_d076_MGJ_RZQ,150
y1_d014_IXC_QEA,153
y2_d028_YUH_RZQ,154
y1_d100_MRJ_YJD,155
y1_d046_MHY_RZQ,155
y1_d049_STK_QEA,155
y2_d041_XLB_RZQ,156
y1_d048_STK_QEA,157
y2_d047_IHI_YJD,158
y2_d097_YJD_RZQ,158
y1_d022_AKX_YJD,160
y1_d091_DYE_RZQ,161
y1_d017_OXG_QEA,161
y1_d089_CRQ_QEA,161
y2_d088_DYE_RZQ,162
y1_d053_APZ_QEA,162
y2_d083_WMI_YJD,163
y2_d063_KIR_RZQ,164
y2_d004_GHD_YJD,165
y1_d043_WJU_QEA,165
y1_d049_UPU_YJD,166
y1_d066_OWH_QEA,167
y2_d033_KNB_YJD,168
y1_d036_HMN_RZQ,168
y1_d058_WZR_YJD,168
y1_d057_OXG_QEA,169
y1_d001_CGA_QEA,170
y2_d034_KNB_YJD,171
y2_d035_KNB_YJD,173
y1_d024_AKX_YJD,173
y1_d002_CGA_QEA,173
y2_d062_KIR_RZQ,173
y1_d080_FBP_QEA,174
y1_d040_TKJ_YJD,175
y2_d027_YUH_RZQ,175
y1_d040_TKJ_YJD,176
y1_d037_HMN_RZQ,176
y2_d064_ESW_YJD,176
y1_d011_GEA_YJD,177
y1_d046_MHY_RZQ,178
y2_d047_IHI_YJD,179
y2_d034_KNB_YJD,179
y2_d065_ESW_YJD,182
y1_d039_HMN_RZQ,184
y1_d081_PVJ_RZQ,185
y1_d013_IXC_QEA,185
y2_d065_ESW_YJD,186
y1_d079_FBP_QEA,186
y1_d050_UPU_YJD,186
y1_d065_UEX_RZQ,186
y2_d017_GIS_RZQ,186
y1_d099_MRJ_YJD,186
y1_d025_JIL_RZQ,187
y2_d046.5_IHI_YJD,188
y2_d011_RQJ_YJD,188
y2_d010_JMJ_YJD,189
y2_d004_GHD_YJD,189
y1_d040_TKJ_YJD,190
y2_d014_TEQ_YJD,193
y2_d011_BVD_RZQ,194
y2_d028_YUH_RZQ,196
y1_d077_GAX_YJD,196
y1_d055_APZ_QEA,199
y1_d090_DYE_RZQ,199
y2_d026_YUH_RZQ,200
y2_d023_DMS_RZQ,205
y2_d068_RDO_RZQ,205
y1_d041_TKJ_YJD,205
y2_d064_ESW_YJD,207
y1_d056_WZR_YJD,207
y2_d038_UKI_RZQ,208
y2_d035_KNB_YJD,208
y1_d011_GEA_YJD,208
y1_d081_PVJ_RZQ,208
y2_d032_KNB_YJD,212
y1_d004_CGA_QEA,215
y1_d019_JFU_YJD,216
y1_d082_FBP_QEA,216
y1_d048_UPU_YJD,218
y1_d053_APZ_QEA,221
y1_d081_FBP_QEA,222
y1_d053_APZ_QEA,223
y2_d075_VZE_YJD,225
y2_d027_YUH_RZQ,225
y2_d054_PTB_YJD,228
y1_d073_PHS_RZQ,228
y1_d093_DYE_RZQ,230
y1_d099_MRJ_YJD,230
y1_d086_CRQ_QEA,230
y2_d015_TEQ_YJD,231
y2_d002_BEJ_RZQ,231
y1_d044_WJU_QEA,232
y2_d056_IAK_RZQ,233
y1_d027_JIL_RZQ,236
y1_d022_AKX_YJD,237
y2_d094_QZE_RZQ,238
y2_d052_PTB_YJD,240
y2_d092_NYA_YJD,240
y1_d065_OWH_QEA,240
y2_d011_RQJ_YJD,245
y2_d041_XLB_RZQ,245
y2_d066_ESW_YJD,247
y1_d064_IAQ_YJD,248
y1_d049_UPU_YJD,248
y1_d050_UPU_YJD,248
y2_d086_LFS_YJD,249
y2_d023_DMS_RZQ,249
y1_d049_JZK_RZQ,250
y1_d056_KJH_RZQ,250
y1_d082_FBP_QEA,252
y1_d016_OXG_QEA,254
y2_d064_HKR_RZQ,254
y2_d013_RQJ_YJD,257
y2_d080_YJD_RZQ,259
y1_d099_MRJ_YJD,259
y1_d078_GAX_YJD,260
y2_d094_QZE_RZQ,262
y1_d058_WZR_YJD,262
y2_d095_QZE_RZQ,264
y1_d064_UEX_RZQ,266
y1_d050_JZK_RZQ,266
y1_d092_DYE_RZQ,268
y1_d016_OXG_QEA,269
y1_d088_CRQ_QEA,271
y1_d057_OXG_QEA,273
y2_d040_XLB_RZQ,273
y1_d064_IAQ_YJD,275
y1_d043_WJU_QEA,277
y2_d094_QZE_RZQ,278
y1_d058_OXG_QEA,280
y2_d050_DYE_RZQ,283
y1_d014_IXC_QEA,285
y2_d066_HKR_RZQ,286
y1_d086_CRQ_QEA,286
y1_d072_ACN_QEA,291
y1_d047_MHY_RZQ,292
y2_d095_QZE_RZQ,294
y1_d058_OXG_QEA,297
y1_d082_YJD_RZQ,300
y2_d042_RZQ_YJD,301
y1_d083_YJD_RZQ,302
y1_d006_MCJ_RZQ,314
y1_d006_MCJ_RZQ,322
y1_d019_OXG_QEA,333
y2_d094_QZE_RZQ,341
y2_d052_PTB_YJD,346
y1_d027_JIL_RZQ,352
y1_d027_JIL_RZQ,361
